epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.1065,1.23834,1.22499,1.59575,0.23272,0.66228,0.27422,0.11873,1.81959,14.0788,3.64084,0.0033105,0.0033105,0.0702055
2,125.093,1.22486,0.9634,1.55025,0.30869,0.51703,0.36598,0.17769,1.69411,3.14944,2.35117,0.00657806,0.00657806,0.0401397
3,187.442,1.14783,0.88417,1.4995,0.91313,0.87591,0.92854,0.60585,1.09928,0.94291,1.64767,0.00977962,0.00977962,0.0100079
4,250.936,1.08975,0.80948,1.43337,0.84961,0.79288,0.88471,0.55608,1.25609,1.63117,2.0457,0.009703,0.009703,0.009703
5,315.143,1.06382,0.76771,1.42422,0.97791,0.97071,0.98832,0.72317,0.9016,0.57254,1.40972,0.009604,0.009604,0.009604
6,381.281,0.9913,0.70582,1.35444,0.95289,0.96053,0.97853,0.68764,0.97761,0.69283,1.54464,0.009505,0.009505,0.009505
7,448.146,0.99425,0.69189,1.36904,0.98184,0.94845,0.97828,0.72163,0.89288,0.58081,1.40315,0.009406,0.009406,0.009406
8,514.738,0.94441,0.64348,1.32198,0.94245,0.97807,0.98889,0.73564,0.88765,0.56754,1.38343,0.009307,0.009307,0.009307
9,581.672,0.94913,0.65153,1.32327,0.9226,0.88874,0.95324,0.65863,1.06649,0.89284,1.56493,0.009208,0.009208,0.009208
10,650.395,0.92783,0.64941,1.30712,0.97367,0.97327,0.9918,0.76109,0.83841,0.52957,1.34113,0.009109,0.009109,0.009109
11,723,0.9081,0.62142,1.30069,0.93224,0.9693,0.98153,0.76548,0.80194,0.63796,1.29588,0.00901,0.00901,0.00901
12,794.763,0.92253,0.62739,1.30874,0.97795,0.97275,0.98817,0.76395,0.82757,0.55069,1.33594,0.008911,0.008911,0.008911
13,864.535,0.89755,0.60672,1.27873,0.98967,0.98246,0.99304,0.76761,0.7795,0.4533,1.2961,0.008812,0.008812,0.008812
14,931.468,0.85846,0.57318,1.24869,0.96759,0.97368,0.98764,0.79507,0.73662,0.44632,1.23024,0.008713,0.008713,0.008713
15,1001.1,0.85803,0.57634,1.25904,0.99477,0.9693,0.99094,0.78241,0.743,0.45061,1.26643,0.008614,0.008614,0.008614
16,1070.59,0.84499,0.55302,1.25321,0.98542,0.98684,0.99365,0.7761,0.80926,0.49615,1.31807,0.008515,0.008515,0.008515
17,1139.42,0.82376,0.53768,1.23356,0.99015,0.9693,0.99399,0.80263,0.73115,0.41164,1.24501,0.008416,0.008416,0.008416
18,1207.8,0.8244,0.53877,1.23657,0.98138,0.98246,0.99413,0.815,0.70201,0.40493,1.22245,0.008317,0.008317,0.008317
19,1278.91,0.81617,0.52116,1.23267,0.98272,0.97807,0.99152,0.8222,0.6654,0.40577,1.17258,0.008218,0.008218,0.008218
20,1353.42,0.79484,0.51408,1.21441,0.98256,0.98834,0.99351,0.80083,0.74279,0.40851,1.24652,0.008119,0.008119,0.008119
21,1425.83,0.81286,0.53593,1.21817,0.98262,0.9693,0.99249,0.80081,0.71007,0.42451,1.2263,0.00802,0.00802,0.00802
22,1495.2,0.79553,0.51642,1.21229,0.98435,0.98246,0.99376,0.81245,0.67008,0.38318,1.15671,0.007921,0.007921,0.007921
23,1564.65,0.78237,0.51324,1.20521,0.99401,0.98246,0.99407,0.81235,0.68284,0.40616,1.19705,0.007822,0.007822,0.007822
24,1633.09,0.77778,0.49393,1.20194,0.97736,0.98684,0.9927,0.81553,0.68644,0.36677,1.16517,0.007723,0.007723,0.007723
25,1699.98,0.77672,0.49594,1.19844,0.98127,0.99123,0.99429,0.80684,0.70046,0.38723,1.19633,0.007624,0.007624,0.007624
26,1768.65,0.76167,0.49167,1.18992,0.98155,0.98684,0.99359,0.83124,0.6436,0.37034,1.14362,0.007525,0.007525,0.007525
27,1837.38,0.75831,0.48595,1.18485,0.99005,0.99123,0.99388,0.80392,0.71117,0.41238,1.18303,0.007426,0.007426,0.007426
28,1905.27,0.72467,0.46465,1.17856,0.98751,0.99123,0.9946,0.82608,0.66785,0.37272,1.16982,0.007327,0.007327,0.007327
29,1972.7,0.7443,0.46984,1.18441,0.98247,0.983,0.99327,0.81101,0.69823,0.40129,1.17185,0.007228,0.007228,0.007228
30,2040.03,0.73097,0.45872,1.17279,0.97635,0.97368,0.9921,0.81829,0.68269,0.36066,1.17342,0.007129,0.007129,0.007129
31,2107.72,0.721,0.45691,1.16909,0.99122,0.99026,0.99385,0.82353,0.67165,0.34958,1.15794,0.00703,0.00703,0.00703
32,2174.86,0.71636,0.45354,1.16318,0.99519,0.99561,0.99478,0.82854,0.64501,0.34679,1.14101,0.006931,0.006931,0.006931
33,2242.04,0.71924,0.44886,1.16141,0.98225,0.99561,0.99407,0.85118,0.59329,0.339,1.08454,0.006832,0.006832,0.006832
34,2309.99,0.70426,0.44771,1.14772,0.98531,0.99123,0.99164,0.85227,0.60341,0.35036,1.1092,0.006733,0.006733,0.006733
35,2379.25,0.68899,0.44182,1.14223,0.98971,0.98684,0.99387,0.8531,0.59861,0.34366,1.09868,0.006634,0.006634,0.006634
36,2449.89,0.68438,0.43157,1.13927,0.98701,0.99994,0.99353,0.85767,0.58633,0.32324,1.09281,0.006535,0.006535,0.006535
37,2521.44,0.68261,0.43107,1.14394,0.98916,0.99123,0.99456,0.85386,0.6256,0.35514,1.11565,0.006436,0.006436,0.006436
38,2590.77,0.68131,0.4287,1.1338,0.99125,0.9943,0.99424,0.84807,0.61393,0.32631,1.10103,0.006337,0.006337,0.006337
39,2658.7,0.67057,0.4242,1.13058,0.99525,0.99123,0.99434,0.85378,0.59019,0.3126,1.08338,0.006238,0.006238,0.006238
40,2727.24,0.66149,0.41159,1.13312,0.99117,0.99561,0.99469,0.87215,0.55983,0.30397,1.06033,0.006139,0.006139,0.006139
41,2795.89,0.65786,0.41478,1.12413,0.98136,0.99123,0.99331,0.84791,0.59716,0.32614,1.08835,0.00604,0.00604,0.00604
42,2863.81,0.66815,0.41886,1.12297,0.99559,0.98994,0.9946,0.84584,0.59969,0.33974,1.10852,0.005941,0.005941,0.005941
43,2930.88,0.65078,0.40493,1.11902,0.98733,0.99561,0.99465,0.86627,0.56123,0.3129,1.07139,0.005842,0.005842,0.005842
44,2997.63,0.65424,0.40571,1.11863,0.98695,0.99516,0.99465,0.86633,0.56269,0.31486,1.07925,0.005743,0.005743,0.005743
45,3065.41,0.64854,0.40849,1.11796,0.98688,0.98983,0.9933,0.85207,0.57482,0.31855,1.07821,0.005644,0.005644,0.005644
46,3132.6,0.63857,0.40031,1.11261,0.97854,0.99992,0.99349,0.86569,0.55662,0.2909,1.05462,0.005545,0.005545,0.005545
47,3200.75,0.64468,0.40029,1.11333,0.99071,0.99561,0.99447,0.86971,0.57357,0.29634,1.05884,0.005446,0.005446,0.005446
48,3269.66,0.63971,0.39333,1.10932,0.99385,0.99123,0.99421,0.87146,0.54963,0.28494,1.05586,0.005347,0.005347,0.005347
49,3337.55,0.63422,0.39356,1.11062,0.99338,0.98684,0.99328,0.86558,0.55755,0.29783,1.05292,0.005248,0.005248,0.005248
50,3404.83,0.62481,0.39554,1.09964,0.98014,0.99561,0.99447,0.86301,0.56226,0.30678,1.07219,0.005149,0.005149,0.005149
51,3472.99,0.63503,0.38356,1.11402,0.98266,0.99399,0.99345,0.87228,0.53523,0.29486,1.04904,0.00505,0.00505,0.00505
52,3540.72,0.63291,0.39116,1.11249,0.98653,1,0.9938,0.86811,0.55334,0.29521,1.06652,0.004951,0.004951,0.004951
53,3608.48,0.60545,0.38093,1.09264,0.99483,0.99561,0.99425,0.86919,0.53137,0.28251,1.02789,0.004852,0.004852,0.004852
54,3675.76,0.6095,0.38198,1.09509,0.98573,0.98246,0.99411,0.86479,0.55243,0.29413,1.05403,0.004753,0.004753,0.004753
55,3744.05,0.60325,0.38047,1.09173,0.99559,0.99012,0.99447,0.87227,0.52649,0.27752,1.0368,0.004654,0.004654,0.004654
56,3812.23,0.59222,0.36927,1.08938,0.9949,0.99123,0.99399,0.88368,0.52072,0.27956,1.02935,0.004555,0.004555,0.004555
57,3881.03,0.60705,0.38551,1.09413,0.98625,0.99123,0.9943,0.87078,0.55878,0.29641,1.05638,0.004456,0.004456,0.004456
58,3949.75,0.58777,0.3727,1.08142,0.98828,0.98684,0.99394,0.87609,0.52248,0.28377,1.03295,0.004357,0.004357,0.004357
59,4018.96,0.59413,0.3652,1.07971,0.98875,0.98684,0.99429,0.88159,0.51889,0.26678,1.00971,0.004258,0.004258,0.004258
